category_fullname,video_url,title,langage,questions,video_type,
empresa,https://www.youtube.com/watch?v=uKvvbt15pP0&ab_channel=ParaleloMundial,El ESTADO y el ROBO LEGALIZADO que es la PROPIEDAD INTELECTURAL – TEORÍA LIBERTARIA,ESP,¿Es legítima la propiedad intelectual per se? ¿Cómo nace la propiedad? ¿Es realmente inherente a la persona la propiedad privada? ¿No podría competir la propiedad privada con otros sistemas de propiedad en diferentes territorios? ¿Por qué tiene que haber solo un sistema de propiedad? ¿Se puede ser dueño de una idea? ¿Puede haber un derecho de protección sobre una idea? ¿Por qué no es legítima teóricamente la propiedad intelectual? ¿Es un robo? ¿Deberían suportar un sistema de patentes ilegítimo nuestras instituciones?,presentación,
escuela,https://www.youtube.com/watch?v=9BmZJwA2Tjk&feature=youtu.be,Así era la educación durante la dictadura franquista | Franco. La vida del dictador en color,ESP,¿Puede ser que se esté intentando alargar en el tiempo un sistema educativo que sólo se sostenía a ostias?,reportaje,
escuela,https://www.youtube.com/watch?v=7fERX0OXAIY,Un crimen llamado educación - Documental completo dirigido por Jürgen Klaric,ESP,"¿Cómo hubiese podido ser mejor nuestro paso por la escuela? ¿Qué papel jugaría el profesor en otro tipo de sistema educativo? ¿Podría tener con el alumno una relación más próxima y no tan autoritaria? ¿En otros sistemas educativos hace falta pegar gritos para hacerse respetar? ¿Puede que sea el modelo actual que solo se sustente si el profesor muestra su autoridad? Si a los alumnos les cuesta estar en una silla quietos y sin hablar durante horas, ¿Es culpa del profesor o de como concebimos las clases? ¿Se le podría dar más flexibilidad y autonomía a los maestros? Si algún día decidiésemos cambiar nuestro sistema educativo, ¿Sería de un día para otro? ¿Cuánto tendría que durar la transición? ¿20? ¿30? ¿40 años?",documental,
escuela,https://www.youtube.com/watch?v=LFB9WJeBCdA&ab_channel=TEDxTalks,Preguntas para pensar | Melina Furman | TEDxRiodelaPlataED,ESP,¿Qué clase de preguntas hay que hacer para enseñar a pensar? ¿Todas las preguntas sirven para enseñar a ser curiosos? ¿Qué puede conseguir un profesor haciendo las preguntas adecuadas? ¿Qué son las preguntas fácticas? ¿Qué ocurre cuando son las únicas preguntas que se plantean en las escuelas? ¿Este tipo de preguntas se pueden responder memorizando la respuesta? ¿Por qué se nos olvida el conocimiento que sólo ha sido interiorizado memorizando? ¿Por qué están llenas las aulas de conocimiento inerte? ¿Recitar o repetir es aprender? ¿Cómo se cambia esta situación? ¿Cómo se transforman las preguntas fácticas en preguntas para pensar? ¿De cuántas formas se puede plantear un problema? ¿Cómo hacer para que las preguntas sean una puerta de entrada para aprender? ¿Puede una clase parecerse a un laboratorio de resolver problemas? ¿Despertaría eso la curiosidad de los alumnos?,conferencia,
escuela,https://www.youtube.com/watch?v=ny61lc2xiZk,Mi Horrible Experiencia en el Sistema Educativo | Jaime Altozano,ESP,"¿Qué es entender algo? ¿Es saber dar una respuesta memorizada? ¿Cómo se enfoca la educación en un instituto? ¿De qué cosas nos acabamos acordando y por qué? ¿Cuál es la mejor manera de aprender cada asignatura? ¿Actualmente se le da importancia al conocimiento práctico? ¿Se le anima al alumno a crear contenido? ¿Cuál sería la forma más interesante de aprender a redactar un texto, por ejemplo? ¿Y si en lengua y literatura los alumnos tuviesen que hacer un guion de cine? ¿Podrían después trabajar todos para gravar los mejores guiones de la clase? ¿Cómo tendrían que trabajar juntos los profesores de las diferentes asignaturas en un proyecto así? ¿En música podrían componer la banda sonora? ¿Se podría diseñar un escenario en plástica? ¿Se puede prescindir de la clase magistral? ¿Puede la clase ser totalmente práctica y que se repasen los conocimientos teóricos en casa con una conferencia gravada?",presentación,
escuela,https://www.youtube.com/watch?v=y4ZQHb1Y9Yc&ab_channel=Pedag%C3%B3gicaMente,PEDAGOGÍA WALDORF: mi experiencia personal | Opinión como exalumno y pedagogo,ESP,¿Qué es la pedagogía Waldorf? ¿Quién fue R7udolf Steiner? ¿Se puede enseñar fuera del aula? ¿Qué aprenden en cada edad en una escuela Waldorf? ¿Qué importancia tiene la sicomotricidad en el aprendizaje? ¿Cómo de importante es saber hacer cosas con las manos? ¿Podrían la artesanía y el arte jugar un papel importante en la educación? ¿Qué influencia tiene sobre la capacidad de concentración del niño? ¿Cómo tendría que ser el horario escolar? ¿Tiene sentido dque se vaya cambiando de asignatura cada hora? ¿Se aprende mejor si se cambia de asignatura cada semana? ¿Por qué en la Waldorf los libros de texto los hacen los propios alumnos?,presentación,
escuela,https://www.youtube.com/watch?v=KXAmQK9ChUU&t=201s&ab_channel=JosefaMartinLuengo,Escuela Paideia (subttítulos en francés),ESP,¿Qué es una escuela libre? ¿Es posible una escuela sin jerarquías? ¿Cómo funcionan las escuelas libres? ¿Qué papel tiene el niño? ¿Por qué no hacer participar al alumno en las decisiones del centro? ¿Cómo se resuelven los conflictos en asambleas? ¿Cómo se organizan en ellas? ¿Qué capacidades comunicativas y de gestión de grupos tiene una persona que se forma en una escuela libre? ¿Los estudiantes realizan las tareas de limpieza y cocina? ¿Aprenden a ser responsables y a ayudar en casa también? ¿Hay clases como en una escuela tradicional? ¿La mejor manera de aprender es escuchar los conocimientos de otro? ¿Se aprende mejor jugando? ¿Cómo se combina el juego con diferentes talleres?,reportaje,
escuela,https://www.youtube.com/watch?v=4OtjZ-u0GRo&ab_channel=MarcoBenitesEspinoza,Summerhill - Documental (Español Subtitulado),ENG,https://howsummerhillworks.com/ ‘How Summerhill Works’ – Watch Here,documental,
escuela,https://www.youtube.com/watch?v=Cx0IFVP2V_k&t=918s&ab_channel=CanalEncuentro,Autosustentables: Educación para la transformación,ESP,"¿Tienen derechos los niños? ¿Son propiedad de alguien? ¿Cómo los suelen tratar los adultos? ¿Se escucha su opinión? ¿Cómo funcionaría una escuela democrática? ¿Contaría igual el voto de un profesor que el de un alumno? ¿Por qué tendría que contar diferente? ¿Y si se les diese a los estudiantes el poder de decidir a qué clases ir? ¿Irían a clase? Si coges a alumnos del sistema educativo actual y les cambias de sistema de golpe, ¿Sería un buen sistema para ellos? ¿O sería un desastre? ¿Y si llevan toda la vida en una escuela democrática? ¿Cómo se tendría que diseñar la transición de un sistema educativo a otro?",reportaje,
escuela,https://www.youtube.com/watch?v=ZL6thct-EsU&ab_channel=LIBERTADTV,(02) El modelo EDUCATIVO – Contra el Estado de Bienestar,ESP,¿Cuál es la organización óptima en educación? ¿Cómo confeccionamos el programa educativo? ¿Cómo permitir que se produzca la innovación en educación? ¿Con el sistema de educación pública pueden decidir los padres en qué escuela educar a sus hijos sin pagar doble? ¿Por qué todos los niños tienen que educarse de la misma forma? ¿Por qué el sistema actual no permite a la educación adaptarse a los cambios futuros del mercado laboral? ¿Qué modelo educativo permitiría la diversidad de oferta educativa? ¿Se podrían establecer unos mínimos para todas las escuelas? ¿Cuáles deberían ser? ¿Por qué la educación tiene que estar regulada por el sector público?,conferencia,
escuela,https://www.youtube.com/watch?v=tRDebOnT1MY&ab_channel=LauraMascar%C3%B3,Educación a la carta (La revolución pendiente) - Documental,ESP,¿Hay una revolución educativa pendiente? ¿Por qué la educación ha cambiado tan poco en los últimos años? ¿Por qué el modelo público actual está siendo tan poco flexible? ¿Te prepara para el mundo laboral la escuela actual? ¿Por qué no somos capaces de adaptar nuestro sistema educativo a la actualidad? ¿Se le da flexibilidad al profesor? ¿Se confía en él y su forma de hacer? ¿Qué fue la institución libre de enseñanza? ¿Qué variedad de formas de dar clase aparecerían si el sistema lo dejase? ¿Qué proyectos están saliendo al margen de la ley? ¿Cómo puede ser que se les ponga la vida tan difícil a estos centros? ¿Se está incentivando la mejora de la educación en España? ¿Qué actitud deben tener los padres para llevar a su hijo a una escuela libre o alternativa? ¿Cambiaremos el chip?,documental,
3El Instituto,https://www.youtube.com/watch?v=iEb9L2CMjr0&ab_channel=QuantumFracture,¿Por qué el Sistema Educativo No Funciona? [OPINIÓN],ESP,¿Por qué el sistema educativo no funciona? ¿Cuáles son las consecuencias de tener un sistema educativo que está obsoleto? ¿A quién premia el sistema educativo actual? ¿Por qué se pone el foco en la memorización en la forma de enseñar de hoy en día? ¿Qué es la mecanización? ¿Cómo se llega a memorizar hasta cómo hacer los problemas? ¿Entiende los conocimientos la mayoría de la gente? ¿Por qué no tiene sentido enseñar a la gente a ser mecánicos en el mundo actual? ¿Qué cosas puede hacer un ser humano que no pueda hacer una máquina?,presentación,
3El Instituto,https://www.youtube.com/watch?v=DdNAUJWJN08&ab_channel=lwf,Noam Chomsky - El objetivo de la educación - Subtitulado,ENG,"¿Cuál es el objetivo de la educación? ¿Enseñar unos conocimientos que cuando salgas no ampliaras? ¿Enseñarle al estudiante a aprender por sus propios medios? ¿Cómo se enseña a investigar? ¿Cómo se enseña a hacerse preguntas? ¿Cómo se enseña a saber seleccionar la información que es válida? ¿Y a entender la información que a uno le importa en cada momento? ¿De qué sirve el internet si uno no sabe lo que buscar? ¿Son necesarios los exámenes? ¿Es la sociedad un reflejo de la educación que han recibido sus individuos? ¿Qué clase de sociedad queremos? ¿Queremos tener una sociedad de individuos libres? ¿Forma el sistema actual a personas creativas e independientes? ¿Cómo enseñar a ser capaz de apreciar los logros culturales del pasado, de aprovecharlos y engrandecerlos? ¿Qué clase de personas queremos para el futuro? ¿Vale la pena invertir en educación? ¿Qué clase de personas queremos? ¿Queremos personas que incrementen el PIB? ¿O el augmento del PIB solo sería el efecto colateral de una buena educación?",entrevista,
3El Instituto,https://www.youtube.com/watch?v=htAnVeMtrr8,"#MiEmpleoMiFuturo: un documental sobre robots, economía, clase media… y el fin del mundo",ESP,Ver Parte 2. ¿Cómo será el futuro? ¿El mundo irá a mejor o a peor? ¿Qué es el pesimismo social? ¿Estamos mejor de lo que creemos? ¿Cómo formar a personas que puedan trabajar en el mercado laboral de dentro de 20 años? ¿Por qué desaparecieron los artesanos? ¿Cómo cambió el mercado laboral después de cada revolución industrial? ¿Qué es la clase media? ¿Desaparecerá en la cuarta revolución industrial? ¿Cómo se tendría que preparar a las personas del futuro? ¿Desaparecerá el trabajo repetitivo? ¿Se crearán otros puestos de trabajo? ¿Qué es el precariado? ¿Cómo se educa a personas para que sean capaces de adaptarse a los nuevos tiempos? ¿Qué capacidades sería inteligente potenciar? ¿Cómo tiene que cambiar el sistema educativo? ¿En qué cualidades somos únicos los humanos? ¿Qué es lo que se nos da mejor que a las máquinas? ¿Qué es la ventana de Overton? ¿Empezaremos a hablar de este tema cuando ya sea demasiado tarde? ¿Cuánto de urgente es un cambio en el sistema educativo? ¿Llevamos 100 años educándonos al revés de como nos funciona la cabeza?,presentación,
3El Instituto,https://www.youtube.com/watch?v=ndT-3ACvnsQ&ab_channel=DotCSV,"ChatGPT – el Hype, los Desafíos y el Futuro",ESP,¿Qué es ChatGPT? ¿Cómo va a transformar el mercado laboral? ¿Cómo han mejorado las IA de texto en los últimos 5 años? ¿Cómo va a mejorar en el futuro? ¿A qué desafío se enfrentan estos sistemas? ¿Qué problemas jurídicos pueden dar estas IA? ¿Qué diferencia a ChatGPT de todos los otros sistemas en el comercio? ¿Qué es el alignment? ¿Se ha entrenado la IA con criterios humanos? ¿Por qué es tan importante esto? ¿Por qué el feedback humano es tan importante? ¿Qué fallos tiene actualmente este Chatbot y cómo se va entrenando? ¿Hemos visto la forma definitiva de ChatGPT? ¿Qué peligros tiene esta tecnología? ¿Habrá en el futuro IA especializadas en un campo de conocimiento concreto? ¿Qué tipo de peticiones se le podrá hacer a un ordenador? ¿Cómo va a evolucionar en el medio plazo nuestra interacción con las máquinas? ¿Está teniendo respuesta política toda esta revolución tecnológica?,presentación,
3El Instituto,https://www.youtube.com/watch?v=GqKnlBq2MA4&ab_channel=JaimeAltozano,¿Te vas a quedar sin trabajo? Hablemos de inteligencias artificiales. ,ESP,"¿Qué es DALI 2.0? ¿Qué permite hacer? ¿Cómo funciona? ¿Puede aprender también a generar imágenes? ¿Es una herramienta creativa? ¿Qué pasará cuando se abarate el coste de entrenamiento de las IA? ¿Qué supone esta revolución tecnológica? ¿Podrá utilizarse como herramienta para crear ilustraciones? ¿Le quita trabajo a los diseñadores DALI 2.0? ¿Serán una herramienta para facilitar la entrada de la gente normal en el mercado? ¿A la vez que estas IA destruyen empleo, van a crear otros? ¿Cómo saber qué cosas preguntarle a la IA para que te de lo que tu quieres? ¿Qué problemas de copyright generará? ¿Va a ser la manera de acabar con el sistema de patentes actual? ¿Va a saber adaptarse la sociedad española a estos avances? ¿Qué debates va a crear esta nueva tecnología?",presentación,
3El Instituto,https://www.youtube.com/watch?v=ZaSXE0dg3EM&ab_channel=VisualEconomik,Inteligencia Artificial: ¿Nos quedaremos sin trabajo? - VisualEconomik,ESP,¿Qué fue el Ludismo? ¿Qué objetivo tenía este movimiento del s. XIX? ¿Por qué fracasaron? ¿Está resurgiendo el pensamiento anti-tecnología? ¿Estaban en lo cierto los antiguos luditas? ¿Estamos frente a una revolución tecnológica de tamaño similar a la revolución industrial del s.XIX? ¿Qué podrían llegar a hacer las IA y robots actuales? ¿Corremos el peligro de perder el trabajo? ¿Qué pasará cuando las máquinas lleguen a hacer trabajos físicos y a pensar mejor que la mayoría de los humanos? ¿Es posible que el nuevo Ludismo tenga razón? ¿Despiden a sus trabajadores las empresas cuando invierten en tecnología? ¿Qué pasa cuando bajan los precios gracias a la robotización? ¿Qué pasaría si la robotización destruyese más trabajo del que creara? ¿Puede que el efecto de esto sea la reducción de la jornada laboral? ¿Puede que llegue tan rápido que no tengamos tiempo a adaptarnos? ¿Es un proceso rápido el de automatizar las industrias? ¿De qué necesita la tecnología para implementarse? ¿Qué pasaría con el trabajo en un mundo donde los robots fuesen ilimitados?,presentación,
3El Instituto,https://www.youtube.com/watch?v=uYPNVokUlo8&ab_channel=VisionRural,Diversificación de cultivos Policultivos Visión Rural,ESP,¿Se producirá la revolución tecnológica y la robotización en agricultura? ¿Puede ser que la naturaleza opere en leyes distintas a todo lo demás? ¿Es sostenible la industrialización de la agricultura? ¿Qué es un monocultivo? ¿Puede que sea inminente un cambio en el sistema agrario? ¿Qué es el policultivo? ¿Habrá alguna forma de optimizar la forma de hacer policultivos? ¿Qué impacto tiene nuestro sistema agrícola en el cambio climático? ¿Qué implicaría en términos laborales el cambio hacia una agricultura de policultivo? ¿A un gran propietario le saldría a cuenta cultivar de esta forma? ¿Es viable esta forma de cultivo en grandes extensiones de propiedad? ¿Qué superficie máxima puede trabajar un agricultor plantando diversas especies? ¿Requiere más trabajo el policultivo? ¿Produce más alimento por metro cuadrado? ¿Se necesitará más mano de obra en el campo para generar diversidad? ¿Qué conocimiento hará falta para hacer posible un cambio hacia una agricultura sostenible? ¿Se revalorizará el trabajo en el campo? ¿Cómo prepararemos a las nuevas generaciones? ¿Qué se dará en las clases de ciencias naturales? ¿Hace falta dedicarse a la agricultura para producir parte de lo que comes?,reportaje,
3El Instituto,https://www.youtube.com/watch?v=uUmIdq0D6-A&ab_channel=LivingWebFarms,Treating the Farm as an Ecosystem Gabe Brown Part 1,ENG,¿Qué es la agricultura regenerativa? ¿Cuáles son sus principios? ¿Qué papel jugará esta forma de cultivo para la transición agrícola? ¿Qué importancia tiene el suelo en agricultura? ¿Qué es un suelo sano? ¿Cómo potenciar la diversidad propia de los ecosistemas para gestionar una explotación agrícola? ¿Por qué motivo los agricultores regenerativos no labran el terreno? ¿Por qué siempre cubren el suelo? ¿Qué ocurre en el suelo cuando se labra? ¿Qué papel juegan las leguminosas en un ecosistema? ¿Cómo mejoraría el ciclo del agua de la península ibérica si la agricultura regenerativa se generalizase en España? ¿Frenaríamos el cambio climático si la agricultura regenerativa se generalizase en el mundo? ¿Cuántos jóvenes se irían a trabajar en el campo si fuesen conscientes del poder de cambio que tienen la agricultura y ganadería? ¿Sería posible aprender biología o ciencias naturales trabajando en el huerto de la escuela? ¿Cuántos temas se podrían llegar a tratar haciendo un diseño de permacultura en clase?,conferencia,
4El Teatro,https://www.youtube.com/watch?v=zHksq5jJuhM&ab_channel=Microteatropordinero,Microteatro Madrid - 5º Aniversario (2015),ESP,¿Qué es el microteatro? ¿Cómo combinan el ocio y las artes escénicas? ¿Qué papel juega el bar en un teatro como este? ¿Cómo mezcla actividades? ¿Cómo sería un teatro que fuese capaz de atraer a gente que nunca ha ido al teatro? ¿Son efectivas las obras de poca duración? ¿Consiguen despertar el interés del usuario novel? ¿Es más sustentable económicamente que un teatro convencional? ¿Qué importancia tiene la rentabilidad del negocio para que se pueda crear una escena teatral fuerte en un país? ¿Qué papel tienen que jugar los teatros pequeños para formar a los actores? ¿Qué papel podrían jugar para atraer a nuevos aficionados?,reportaje,
4El Teatro,https://www.youtube.com/watch?v=XYEExVOTsMM&ab_channel=MariTriniGiner,Microteatro por Dinero en Madrid,ESP,¿Cómo surgió la idea? ¿Dónde se hicieron las primeras obras de microteatro? ¿A quién se le ocurrió la idea? ¿Cómo es una sala de microteatro? ¿Cuánto cuesta una microobra? ¿Cómo fluyen las energías dentro de una habitación de esas? ¿Cómo te debes sentir viendo una obra de microteatro? ¿Cuántos microteatros se han abierto desde entonces? ¿Cómo cambiaran las salas de teatro? ¿Otras salas empezarán a mezclar también vida social y teatro? ¿Qué duración tendrán las obras? ¿Cómo conseguirá resurgir con más fuerza la escena teatral?,entrevista,
4El Teatro,https://www.youtube.com/watch?v=UWeWNTJTpvg,La deshumanización moderna (1). Fragmento documental,-,"¿Para qué sirven las calles? ¿Para qué las utilizamos? ¿Qué hacemos en ellas? ¿Sirven solo para ir de un espacio interior a otro? ¿Les damos otra función aparte del desplazamiento? ¿Está siendo un sitio donde se hacen actividades a menudo? ¿Elegimos la calle como sitio de reunión? ¿Por qué casi el único sitio donde hay gente charlando, es en las terrazas de los bares? ¿Qué relación tiene el uso que se le da a la calle con los edificios que la conforman? ¿Es bueno que se sepa que en un edificio se está haciendo algo, solo cuando entras? ¿Podría ser la calle un espacio más del interior de los edificios? ¿Una calle debería ser el reflejo de los edificios que la delimitan? ¿Lo es?",documental,
4El Teatro,https://www.youtube.com/watch?v=PK3T2hk242o&ab_channel=UNLvideos,Diálogos - Capítulo 08 - Julio Arroyo - Manuel Delgado Ruiz,ESP,"¿Qué es la calle? ¿Es un espacio social? ¿Para que haya sociedad, es imprescindible que haya calles y plazas? ¿Qué es el espacio público? ¿Son sinónimos espacio social y espacio público? ¿Cómo se emplea últimamente el segundo concepto? ¿Todas las calles facilitan el encuentro? ¿Por qué algunas calles están vacías y otras llenas de vida? ¿Por qué hay plazas o parques dónde la gente se encuentra y otras que da miedo pasar por ellas de lo vacías que están? ¿Cuánto depende esto de cómo están diseñadas? ¿Quién decide lo que se hace en un espacio? ¿El arquitecto que le ha dado forma? ¿O la gente que lo usa? ¿Qué es lo urbano? ¿Cómo se han creado los barrios que están llenos de vida urbana? ¿Qué se quiere decir últimamente cuando se emplea el término espacio público? ¿Ha acabado siendo un mecanismo de exclusión? ¿Qué ideas regulan el comportamiento permitido en el espacio público? ¿Qué políticas de control se aplican sobre el espacio público?",entrevista,
4El Teatro,https://www.youtube.com/watch?v=0R3rWnc2aHk&ab_channel=EscolaBloom,Angelica Tognetti - Entre lo estético y lo político : la Internacional Situacionista,ESP,¿Por qué hay cosas que no podemos hacer en ciertos espacios? ¿Nos damos cuenta de las rutinas y tradiciones que tenemos? ¿Qué papel puede jugar el arte para cuestionarlas? ¿Qué es el “détournement” de los situacionistas? ¿Qué ocurre cuando en un espacio se actúa de forma diferente a lo normativo? ¿Sirve para hacer visible la conducta habitual? ¿Se puede hacer sin molestar a los demás? ¿Dónde está la línea entre el cuestionamiento de la norma y la falta de respeto? ¿Qué es la deriva? ¿Podría ser una herramienta interesante para analizar y experimentar la ciudad? ¿Ayuda a descubrir rincones de la ciudad que nunca habrías pisado?,entrevista,
